"id","name","type","price","rating","numReviews","shortDescription"
"268D7L1G43W0","Ketel One Vodka, 1.75 L, 40% ABV","Liquor & Spirits",32.98,4.7,1277,"<li>Made with 100% non-GMO Grain</li><li>Family-Made</li><li>Crafted to be Exceptionally Smooth Vodka</li>"
"3YOKJS2MVQKL","Ketel One Vodka, 750 mL, 40% ABV","Liquor & Spirits",21.53,4.7,1104,"<li>Made with 100% non-GMO Grain</li><li>Family-Made</li><li>Crafted to be Exceptionally Smooth Vodka</li>"
"1ZP6KXVOWJ35","Smirnoff Watermelon (Vodka Infused With Natural Flavors), 750 mL, 30% ABV","Liquor & Spirits",11.46,4.4,2023,"<li>Gluten Free</li><li>infused with natural watermelon flavor</li><li>Crafted using natural watermelon flavor and the award-winning Smirnoff No 21 Vodka</li>"
"3VHRCLAD8UGZ","SVEDKA Vodka, 375 ml Plastic Bottle,40% ABV","Liquor & Spirits",5.72,4.6,1370,"<li>Unflavored vodka with a subtle, rounded sweetness, making it ideal for countless vodka drinks, sVEDKA 80 proof vodka with a balanced body and a crisp finish</li><li>Mix this unflavored vodka into</li>"
"42NN52E7ZJVN","SVEDKA Mango Pineapple Flavored Vodka, 750 ml Bottle, 35% ABV","Liquor & Spirits",9.87,4.5,57,"<li>Tropical vodka with succulent mango flavor followed by juicy, sweet pineapple flavor and creamy undertones, mango and pineapple vodka with a subtle rounded sweetness and a crisp finish</li>"
"6YRDNVDKZFNQ","Pinnacle Vodka, 1.75 L Plastic Bottle, ABV 40.0%","Liquor & Spirits",17.48,4.7,19,"<li>Clean, fresh, and light aroma with a smooth and soft taste with a short finish</li><li>Smooth and extremely mixable</li>"
"33MEG8KEFL5U","KINKY Cocktails Pink Liqueur, Vodka, 34 Proof, 750ml Glass Bottle, 25.4 fl oz","Liquor & Spirits",17.87,4,4,
"4192D9JUURKN","SVEDKA Strawberry Lemonade Flavored Vodka, 750 ml Bottle,35% ABV","Liquor & Spirits",9.87,4.4,160,"<li>Fruity citrus vodka with a bright blend of lemonade and sweet wild strawberry flavors, lemonade and strawberry vodka with a subtle rounded sweetness and a crisp finish</li><li>Mix this strawberry</li>"
"5HYHF9NRG24K","CIROC Limited Edition Summer Watermelon (Made with Vodka Infused with Natural Flavors), 750 mL, 35% ABV","Liquor & Spirits",29.97,4.7,22,"Ciroc Watermelon 750ml"
"0X73P06NDURC","CIROC Peach (Made with Vodka Infused with Natural Flavors), 750 mL, 35% ABV","Liquor & Spirits",29.88,4.6,2642,"<li>CROC Peach is a rich tasting spirit</li><li>Made with vodka distilled five times from fine French grapes.</li><li>Imported from France.</li><li>Finished in a tailor-made copper pot still in</li>"
"658PLMRTAFNR","New Amsterdam Vodka, 375ml Plastic Bottle","Liquor & Spirits",6.98,0,0,"New Amsterdam Vodka 375 Ml Equity Bottle"
