"id","name","type","price","rating","numReviews","shortDescription"
"2Y1DQNJMES8K","Long Coast Non Alcoholic Variety Cocktail Mixers, 8 Pack, 12 oz cans","Cocktail Mixers",29.98,0,0,
"4ROMF2FG97X3","Bartesian 16-Pack Margarita Mixer Capsules for use with The Bartesian Cocktail Drink Maker","Cocktail Mixers",49.99,4.9,362,
"5LGDHTDTJ41X","V8 Original Bloody Mary Mix, 46 fl oz Bottle","Cocktail Mixers",4.18,4.6,194,"<li>One 46 fl oz bottle</li><li>Original Bloody Mary mix</li><li>Non-alcoholic</li>"
"59UJ9CG2C4PC","Finest Call Strawberry Puree Cocktail Mixer, 1 Liter Plastic Bottle","Cocktail Mixers",13.5,4.6,14,"<li>Finest Call Mixes Strawberry Puree</li><li>Made primarily from real strawberries</li><li>Smooth</li><li>No artificial colors, flavors, or preservatives</li>"
"32UY98QVMJVM","Fever-Tree Bold & Spicy Premium Real Ginger Beer, 4Pack/6.8oz, Shelf Stable, Glass Bottles","Beer",5.48,4.2,118,"Fever-Tree Ginger Beer 4/200ml"
"1BJNFQSL3XPO","Goslings Stormy Ginger Beer Cocktail Mixer, 6-12 fl. oz Cans","Cocktail Mixers",5.98,4.8,26,"Goslings Stormy Ginger Beer Cocktail Mixer, 6-12 fl. oz. cans"
"2K1HSBOKOZNS","Craftmix Espresso Martini, Makes 12 Drinks, Skinny Cocktail Mixers - Mocktail Drink Mixers - Martini Mix With Real Coffee - Vegan Low-Carb, Low-Sugar, Non-GMO, Dairy Free, Gluten Free, Easy to Mix","Cocktail Mixers",12.24,4.5,81,"<li>Mix Things Up!</li><li>30 mg Of Caffeine Per Serving</li><li>All Natural</li><li>Low Calorie</li><li>12 Crafted Cocktail Packets</li>"
"2I9BWON2410P","Fever-Tree Sparkling Pink Grapefruit Cocktail Mixers, 6.8 Fl Oz, 4 Count","Cocktail Mixers",5.74,4.7,114,"Fever Tree Merchandise"
"3GSJULGEHLFP","Mr & Mrs T Cane Sugar Bold & Spicy Bloody Mary Mix, 1 L, Bottle","Cocktail Mixers",4.72,4.6,192,"<li>Contains 95% juice</li><li>A spicy blend with jalapeno, chipotle and cayenne peppers</li><li>Made from scratch taste</li>"
"7FQZHLUQG72A","Tres Agaves, Organic Strawberry Margarita Mix, 1 Liter Bottle","Cocktail Mixers",8.98,0,0,"Tres Agaves, Organic Strawberry Margarita Mix, 1 Liter Bottle"
"6XWKRNNHB5JA","Mr & Mrs T Skinny Margarita Mix, 1 L, Bottle","Cocktail Mixers",4.72,4.4,230,"<li>Made with premium, quality ingredients.</li><li>Perfected with agave nectar.</li>"
"7CW50Q274XGN","Mr & Mrs T Bold & Spicy Bloody Mary Mix, 1.75 L, Bottle","Cocktail Mixers",8.38,4.6,83,"<li>A spicy blend with jalapenos, chipotle and cayenne peppers</li><li>Made with premium ingredients</li><li>Fiery, bold and spicy</li>"
"1P3XHTN5N6ZM","Mr & Mrs T Original Bloody Mary Mix, 1.75 L, Bottle","Cocktail Mixers",8.38,4.5,72,"Mix Bloody Mary (Pack of 6)<p>(Note: This Product Description Is Informational Only. Always Check The Actual Product Label In Your Possession For The Most Accurate Ingredient Information Before Use.</p>"
"6XKWA3EI349W","Clamato Original Tomato Cocktail Mixer, 64 fl oz, Bottle","Cocktail Mixers",4.97,4.7,969,"

<li>An authentic, invigorating blend of tomato juices and spices</li>
<li>Great for mixed drinks</li>
<li>A zesty addition to meals; pairs well with seafood, poultry and various other dishes</li>

"
"4QQS93UT0EHS","Daily's Cocktails Pina Colada Cocktail Mixers, 1 Liter Plastic Bottle","Cocktail Mixers",13.95,0,0,"<li>Refreshing, real, and right for any occasion</li><li>Mix up the authentic taste of real juices from the freshest fruits</li>"
"1SAS5WX1A7T3","Ocean Spray Rum Punch Cocktail Mixer, 32 fl oz Bottle","Cocktail Mixers",8.27,4.6,65,"Ocean Spray Rum Punch Cocktail Mixer, 32 fl oz Bottle"
"6VM31ND07WRT","Daily's Cocktails Strawberry Cocktail Mixers, 1 L Bottle","Cocktail Mixers",0,5,1,"<li>Mix up the authentic taste of real strawberries</li><li>Non-alcoholic</li><li>All natural flavors</li>"
"1PFV0N6OPI0W","Mr & Mrs T Cane Sugar Margarita Mix, 1.75 L, Bottle","Cocktail Mixers",0,4.4,56,"<li>Perfected with agave nectar.</li><li>Non-alcoholic</li>"
"74S495JE7IZM","Daily's Cocktails Sweet and Sour Cocktail Mixers, 1 Liter Plastic Bottle","Cocktail Mixers",0,0,0,"<li>Refreshing, real, and right for any occasion</li><li>Mix up the authentic taste of real juices from the freshest fruits</li>"
"7ICZAGCICKDG","Ocean Spray Strawberry Margarita Cocktail Mixer, 32 fl oz Bottle","Cocktail Mixers",6.64,4.6,50,"Ocean Spray Strawberry Margarita Cocktail Mixer, 32 fl oz Bottle"
