"id","name","type","price","rating","numReviews","shortDescription"
"6FMSCPBFAX60","Sol-Ti SuperShot Turmeric Living Beverage 2.1 fl oz","Juices",2.98,4.5,45,
"1J5SPIAJKUGQ","Simply Non GMO All Natural Lemonade Juice, 52 fl oz Bottle","Juices",2.97,4.7,3529,"<li>Made with real lemon juice</li><li>No added colors or artificial flavors</li><li>Classic, fresh homemade lemonade taste</li>"
"5808TABWF0U1","Hawaiian Punch Surfin' Strawberry Citrus Juice, 1 Gal, Bottle","Juices",2.48,4.3,96,"Hawaiian Punch Merchandise"
"290UVUOJWDGW","Hawaiian Punch Coconut Wave Juice, 1 Gal, Bottle","Juices",3.67,3.8,110,"Hawaiian Punch Coconut Wave Juice, 1 Gal, Bottle"
"6M18CYUBMTB5","Capri Sun Variety Pack with Fruit Punch, Strawberry Kiwi & Pacific Cooler Juice Box Pouches, 30 ct Box, 6 fl oz Pouches","Juices",8.87,4.3,1664,"<li>One box of Capri Sun Fruit Punch, Strawberry Kiwi and Pacific Cooler Flavored Juice Drink Blend Variety Pack (30 ct 6 fl oz pouches)</li><li>The taste kids love with all natural ingredients</li>"
"44T68DJ42GSX","AriZona Kiwi Strawberry Juice Cocktail, 128 Fl. Oz.","Juices",3.57,4.1,216,"<li>100% natural</li><li>Vitamin C fortified</li><li>Contains 5% juice</li>"
"61CJGT8T23XI","Arizona Watermelon 128 Oz Gallon Single","Juices",3.57,3.9,424,"Sure, people love to eat watermelon in the summer. But why not enjoy it all year round by drinking Arizona Watermelon? It's got all of the flavor you love - and none of the seeds! This flavorful,"
"2T3ZV7RPXUJ7","Kool Aid Bursts Berry Blue Kids Drink, 6 Ct Pack, 6.75 fl oz Bottles, Liquids","Juices",2,4,342,"<li>Six bottles of Kool Aid Bursts Berry Blue Artificially Flavored Drink</li><li>Kool Aid Bursts Berry Blue Artificially Flavored Drink is refreshingly sweet and a delicious way to stay hydrated</li>"
"23V18NYTRZ7S","V8 Splash Berry Blend Flavored Juice Beverage, 96 fl oz Bottle","Juices",3.44,4.6,647,"<li>One 46 fl oz bottle</li><li>Berry blend</li><li>5% juice blend</li>"
"0ZUE08S0TOOA","Great Value 100% Apple Juice, 96 fl oz","Juices",3,4.4,4749,"<li>Great Value 100% Apple Juice</li><li>96 fl oz bottle</li></lu><li>Contains 130% of daily vitamin C requirement per serving</li>"
"42LRHSXOCGIB","Kool-Aid Jammers Sharkleberry Fin Strawberry Orange Punch Flavored Drink, 10 Ct Box, 6 fl oz Pouches, Liquids","Juices",2.27,4.1,192,"<li>Ten pouches of Kool Aid Jammers Strawberry Orange Punch Artificially Flavored Drink</li><li>Kool-Aid Jammers Artificially Flavored Strawberry Orange Punch Drinks are bursting with fun flavors</li>"
"192PA678ENO0","Capri Sun Summer Blast Passion Fruit Mango Flavored Juice Drink Blend, from Concentrate with Other Natural Flavor, 10 ct Box, 6 fl oz Pouches, Liquids","Juices",2.68,4.3,33,"<li>One 10 ct box of Capri Sun Summer Blast Passion Fruit Mango flavored Juice Drink Blend from concentrate with other natural flavor (6 fl oz pouches)</li><li>Capri Sun Summer Blast flavored pouches</li>"
"35QAF7AOCM2U","Mott's 100% Original Apple Juice, 64 Fluid Ounce, Bottle","Juices",3.76,4.4,616,"<li>No sugar added</li><li>Excellent source of vitamin C</li><li>120% DV vitamin C</li>"
"3CQQGJM1EO7Q","Hawaiian Punch Lemon Berry Squeeze, Juice Drink, 1 gal bottle","Juices",2.48,4.4,271,"<li>Made with natural fruit juices</li>
<li>Caffeine and carbonation free</li>"
"1WEYHX5KCEWJ","Yoo-hoo Chocolate Drink, 11 Fluid Ounce, 12 Pack Cans","Milks",6.97,0,0,"<li>Original chocolate flavor</li><li>99% fat and caffeine free</li><li>Rich in calcium and vitamin D</li>"
"7BW4UQNDXVOL","Kool-Aid Jammers Tropical Punch Flavored Drink, 10 Ct Box, 6 fl oz Pouches, Liquids","Juices",2.27,4.3,656,"<li>Ten 6 fl oz pouches of Kool-Aid Jammers Artificially Flavored Tropical Punch Drink</li><li>Kool-Aid Jammers Artificially Flavored Tropical Punch Drinks are bursting with fun flavors</li>"
"5GDXAL5QOK13","Tampico Mango Punch, Mango Orange Tangerine Juice Drink 1 Gallon","Juices",2.12,4.1,285,"Tampico Mango Punch 1 Gallon"
"3GI5TSSJHG2V","Apple & Eve 100% Juice Drink, Variety Pack, 6.75 Fl Oz, 32 Count","Juices",12.74,4.4,531,"<li>32 Juice Box Variety Pack: 16 Apple Juice, 8 Very Berry, and 8 Fruit Punch</li><li>100% vitamin C daily value</li>"
"5GCG44GU8BPV","Ocean Spray White Cran-Strawberry Juice Drink, 64 fl oz Bottle","Juices",3.46,4.2,678,"<span style=""font-size: 11pt;""><b>Ocean Spray White Cranberry Strawberry Juice Drink, 64 Fl Oz</b></span></font><li><span style=""line-height: 17.12px;""><span style=""font-size: 14.6667px;"">No High</span></span></li>"
