"id","name","type","price","rating","numReviews","shortDescription"
"3SOOLM2YWUFL","Sam's Cola Cherry Soda, 2 Liter Bottle","Soda Pop",1,4.2,367,"<li>Cherry flavored</li>"
"3MMMXHM46WGO","Barq's Root Beer Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",6.62,4.7,635,"<li>Over 120 years ofsweet with a spicy bite in every bottle</li><li>A delicious, caffeinated, full flavoredsodawith a kick</li><li>BarqsRoot Beeris a bold and spicy choice forpeoplewho know what they</li>"
"5HO8LNINPBXD","Sprite Lemon Lime Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",8.12,4.6,13804,"<li>Quench your thirst with refreshing Spritesoda</li><li>Clear, crisplemon-lime sodawill keep you invigorated and inspired</li><li>A deliciouscitrus tastethat knows how to keep things cool</li>"
"6BROT3VY8VE0","Great Value Mountain Lightning Citrus Flavored Soda Pop, 12 fl oz, 24 Pack Cans","Soda Pop",8.87,4.4,543,"<li>Citrus-flavored soda</li><li>190 calories per serving</li><li>24 servings per container</li>"
"4QCFAEBPWQ06","Sunkist Caffeine Free Berry Lemonade Soda Pop, 12 fl oz, 12 Pack Cans, Allergens Not Contained","Soda Pop",5.88,4.2,167,"Sunkist Caffeine Free Berry Lemonade Soda Pop, 12 fl oz, 12 Pack Cans, Allergens Not Contained"
"3WMBN4B4CAJ4","Mountain Dew Voltage Raspberry Citrus Flavor and Ginseng Soda, 12 fl oz, 12 Count","Soda Pop",8.1,4.7,906,"<li>A different kind of Dew as chosen by you</li><li>Dew charged with raspberry citrus flavor and ginseng</li><li>Low sodium</li>"
"4R1U3ZEEP0EH","Canada Dry Ginger Ale, 12 Fl Oz, 12 Count","Soda Pop",7.92,4.6,4454,"<li>Made from real ginger</li><li>100% natural flavors and caffeine free</li><li>Crisp and refreshing beverage and cocktail mixer</li>"
"60Y37P0UURWP","7UP Caffeine Free Zero Sugar Cherry Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",5.88,4.2,326,"<li>Diet cherry flavored soda</li><li>100% naturally flavored</li><li>Zero calories</li>"
"1B6HAHB38A9Y","7UP Caffeine Free Lemon Lime Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",5.88,4.5,1473,"<li>Lemon-lime soda</li><li>Uplifting refreshment</li><li>Also available in Diet and 7UP TEN</li>"
"70G04436AQ6E","Great Value Dr Thunder Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",4.46,4.2,581,"<li>Great Value Dr Thunder Soda Pop, 12 fl oz, 12 Pack Cans</li><li>150 calories per serving</li><li>Very low sodium</li>"
"41WXFR75HOFO","Canada Dry Caffeine Free Ginger Ale Soda Pop, 16.9 fl oz, 6 Pack Bottles","Soda Pop",3.77,4.6,3250,"<li>Made from real ginger</li><li>100% natural flavors; caffeine free</li><li>Crisp and refreshing beverage and cocktail mixer</li>"
"703L1CUXX339","Fanta Pineapple Soda Pop Fridge Pack, 12 fl oz, 12 Pack Cans","Soda Pop",6.62,4.5,396,"<li>Liberate your every day with fizzy and refreshing fruit-flavored Fanta soda pop</li><li>Dive into a 100% naturally flavored Fanta soft drink</li><li>Caffeine-free soda so you can enjoy bubbly</li>"
"5SF33IFM1GCY","Mountain Dew Soda Pop Summer Freeze 12 fl oz, 12 Pack Cans","Soda Pop",5.86,4.6,83,"Mt.dew Merchandise"
"2B5Y3UY9KP7S","Mountain Zero Sugar Soda Pop,Summer Freeze 12 fl oz, 12 Pack","Soda Pop",9.61,4.3,53,"Mt.dew Merchandise"
"16PTVD8OFUBX","Crush Caffeine Free Peach Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",8.95,4.3,139,"<li>No juice</li><li>Caffeine free</li>"
